               sample          id       pointing  MPT_number   z_manual  z_gaussian                                    optext
202   CAPERS_EGS_V0.2  s000007205             P3        7205   2.448828   -1.000000  CAPERS_EGS_P3_s000007205_x1d_optext.fits
203   CAPERS_EGS_V0.2  s000007238             P2        7238   1.240000    1.248808  CAPERS_EGS_P2_s000007238_x1d_optext.fits
204   CAPERS_EGS_V0.2  s000007261             P3        7261  -1.000000   -1.000000  CAPERS_EGS_P3_s000007261_x1d_optext.fits
205   CAPERS_EGS_V0.2  s000007273             P2        7273   2.930693    2.931550  CAPERS_EGS_P2_s000007273_x1d_optext.fits
206   CAPERS_EGS_V0.2  s000007303             P2        7303   2.906918    3.017890                                       NaN
207   CAPERS_EGS_V0.2  s000007314             P2        7314  -1.000000   -1.000000  CAPERS_EGS_P2_s000007314_x1d_optext.fits
208   CAPERS_EGS_V0.2  s000007330             P1        7330   3.510000    3.519134  CAPERS_EGS_P1_s000007330_x1d_optext.fits
209   CAPERS_EGS_V0.2  s000007401             P1        7401   4.630000    4.635556  CAPERS_EGS_P1_s000007401_x1d_optext.fits
210   CAPERS_EGS_V0.2  s000007423             P2        7423   2.616006    2.597860  CAPERS_EGS_P2_s000007423_x1d_optext.fits
211   CAPERS_EGS_V0.2  s000007447             P4        7447  -1.000000   -1.000000  CAPERS_EGS_P4_s000007447_x1d_optext.fits
212   CAPERS_EGS_V0.2  s000007448             P2        7448  -1.000000   -1.000000                                       NaN
