id,bayes.universe.redshift,bayes.universe.redshift_err,best.universe.redshift
102147,2.299999998958351,3.227739270623795e-06,2.3000000000000003
102172,2.1799958114665063,0.0003215034089062733,2.18
102182,5.22,3.140519396833229e-11,5.22
102193,3.230863347049282,0.002811715837401731,3.23
102254,3.802997403355403,2.8559669700213757,3.69
102318,4.520116305596056,0.0010721608875998059,4.5200000000000005
102363,3.2300371357717705,0.0006167812691649391,3.23
102481,4.719549998343802,0.002073044879254471,4.72
102537,3.719715168813236,0.002024049359004752,3.72
102732,7.340000004090531,2.0624589148046247e-05,7.34
102762,1.9848330445427476,0.1541670282225135,1.96
102764,1.7292841587552594,1.1344519857612179,2.43
102790,3.1800000068246135,8.302766540433905e-06,3.18
102811,3.2499999999999996,2.2671198644578034e-11,3.25
102822,4.667675980946275,0.20110149540030714,4.68
102826,1.9108495650715742,0.19469045126246776,1.9000000000000001
102845,2.7177976049685544,0.9189986271315097,2.42
102871,2.5981166286267072,0.14180481568189374,2.59
102926,4.166149323141048,2.6737872112477636,2.5300000000000002
102986,3.2200000000138904,3.726860906708671e-07,3.22
103061,1.420000713252069,8.748543599716402e-05,1.42
103071,3.79792099467737,0.08698170793150203,3.79
103092,1.4101420787043542,0.003003222148197899,1.41
103171,4.569999999999999,2.890738862416852e-10,4.57
103227,5.060000000000037,1.9141433023428847e-08,5.0600000000000005
103256,2.5418625764753084,0.004780418604745813,2.54
103270,2.8320842911204545,0.030783863627758656,2.81
103313,1.4952044700799978,0.05353220708147394,1.48
103333,1.9193418758701815,0.00248324522474386,1.92
103343,10.176086391594763,7.417685147721075,6.78
103364,3.25223485559166,0.13885922045959914,3.22
103398,2.303311452285185,0.7402904256793523,2.81
103521,1.6612800573834143,0.005406075433828485,1.6600000000000001
103532,0.966383919116489,0.06417352704709109,0.97
103576,1.2756062460516069,1.2589257279294306,0.21
103610,3.2099999999999986,4.712357334215698e-09,3.21
103782,1.5465324806657705,0.3135025492730541,1.62
103783,9.26629005463615,7.155526791964587,6.8500000000000005
103792,3.2500847350658146,0.7552737183225208,3.25
103825,3.599863953321368,0.0024185266199738373,3.6
103921,0.6964290545639112,0.7497151744057282,0.55
104041,0.8047906013424234,0.07629018644645177,0.67
104175,2.23090895288655,0.5922755185033489,1.6300000000000001
104239,1.4379124232457714,0.004065825716763924,1.44
104320,2.4899999999999993,1.3692279099644748e-10,2.49
104422,3.71,6.719338840337435e-11,3.71
104491,3.7100000000599125,7.740388885927997e-07,3.71
104546,4.908557207478685,0.0035137266483857596,4.91
104709,0.663179806157244,0.7691161404745956,0.51
104744,1.6322550063527481,0.1471633199287776,1.75
104790,2.3342032241601243,0.47347850875050657,2.3000000000000003
104843,2.1484056271318255,0.6008450306241984,1.81
104849,3.1261689926957126,0.10246387268613344,3.09
104896,3.699998438994371,0.0001249304588225549,3.7
104948,3.373000717409748,0.20583926084242737,3.42
105040,1.090416534843686,0.058717682699306474,1.08
105150,0.8205478035481786,0.036117158310999944,0.8300000000000001
105205,4.0602852570194345,0.001664691751405371,4.0600000000000005
105225,1.1837994830449141,0.01894555561686128,1.19
105259,2.5900000000000007,5.636618726965484e-10,2.59
105267,4.719999998961707,3.4509458976941204e-06,4.72
105324,1.798420385715393,0.46962846231830824,1.6300000000000001
105333,1.6717275909580245,0.034423897679028696,1.68
105420,5.00848003826879,2.9857918270504626,7.4
105454,4.950000000437309,2.0911942382286646e-06,4.95
105478,2.2599987134703134,0.00013232269381180742,2.2600000000000002
105517,8.223438406655937,0.6624864017604453,8.25
105528,0.5800745640405592,0.1479099116491454,0.3
105613,5.256802760123659,0.019011136954019087,5.26
105631,5.240000000005415,2.3270187089256877e-07,5.24
105697,1.8682091068921918,0.0038780792904387373,1.87
105709,1.877056747677446,0.19592910865693577,1.96
105751,0.7409744411197038,0.05953552046284616,0.71
105799,1.2685960139873862,0.008463949559006376,1.27
105915,1.0399990031240416,0.00010015886274369154,1.04
106041,3.700000017187909,1.3121144483043043e-05,3.7
106108,1.4822877252338515,0.012295848597922826,1.5
106218,1.9591376109636671,0.003612930636350617,1.96
106254,1.5300001090422257,3.303236508319375e-05,1.53
106387,0.6984291842605533,0.7430841934123451,1.58
106455,5.650024305216393,0.0004924037168684157,5.65
106552,1.9899925986488463,0.00027195354665039305,1.99
106615,1.4566518603223035,0.01704208558818954,1.46
106710,2.2252865447378594,0.00514153871125135,2.23
106892,1.9655846650981699,0.020085902784458255,1.96
106920,2.223659314779533,0.005458493547720576,2.22
107036,0.2715100742263018,0.1460208718647043,0.17
107130,1.5053444997642644,0.8839070012017662,1.1
107146,1.0399981946943013,0.00015477647843856594,1.04
107158,2.628614745236621,0.004554785157820009,2.63
107283,4.010005116651278,0.0002261422841481697,4.01
107315,3.401044769751689,1.598192625747726,4.38
