#file	Best_z	Cand_z_2	Cand_z_3	Cand_z_4
CAPERS_UDS_P1_s000119497_x1d.fits	7.3277	2.7899	1.2101	2.2329
CAPERS_UDS_P1_s000112272_x1d.fits	5.3205	7.563	7.491	nan
CAPERS_UDS_P1_s000021079_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000113121_x1d.fits	5.3253	nan	nan	nan
CAPERS_UDS_P1_s000150683_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000017978_x1d.fits	4.5234	6.425	nan	nan
CAPERS_UDS_P1_s000112891_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000116034_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000025496_x1d.fits	2.0792	nan	nan	nan
CAPERS_UDS_P1_s000104896_x1d.fits	3.6831	5.2917	nan	nan
CAPERS_UDS_P1_s000018225_x1d.fits	3.1212	4.5378	1.1092	nan
CAPERS_UDS_P1_s000108988_x1d.fits	6.7227	4.9412	4.8788	6.9436
CAPERS_UDS_P1_s000113849_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000112611_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000015371_x1d.fits	nan	nan	nan	nan
